exchange,symbol,isin,series,date,close,prev_close,volume,value,trades,sma20,sma50,sma200,avg_vol20,volume_ratio20,high20,high50,high60,low20,low50,low60,high252,low252,dist_52w_high_pct,dist_52w_low_pct,roc20_pct,roc50_pct,rsi14,atr14_pct,range_pct,close_vs_sma20_pct,close_vs_sma50_pct,close_vs_sma200_pct,sma20_slope20_pct,sma50_slope20_pct
BSE,VXLINSTR,INE756A01019,X,2026-09-21,4.76,4.54,19626,93419,26,3.5105,3.6392,,20385.55,0.9627,4.76,4.76,4.76,2.7,2.7,2.7,4.76,2.7,0,76.2963,32.5905,40,79.0123,4.2617,0,35.5932,30.798,,-6.8956,3.7105
BSE,WAA,INE799N01012,M,2026-09-21,50.93,49.79,16000,810976,17,47.1925,46.427,,12000,1.3333,55.65,55.65,55.65,42.49,42,42,55.65,42,-8.4816,21.2619,19.8353,4.0025,58.926,6.774,8.4,7.9197,9.6991,,5.6872,-3.9395
BSE,WAAREE,INE725P01012,M,2026-09-21,202.5,206,5600,1132040,29,209.915,221.762,,7157.5,0.7824,224.15,248.7,260,199,199,199,277,199,-26.8953,1.7588,-4.0739,-16.6667,30.898,2.9982,3.0151,-3.5324,-8.6859,,-7.0998,-7.3382
BSE,WAAREEENER,INE377N01017,A,2026-09-21,2501,2535.1,22054,55438147,2408,2584.2175,2667.114,,46323.4,0.4761,2713,2911.95,3018.4,2471.2,2471.2,2471.2,3157.5,2471.2,-20.7918,1.2059,-6.6791,-14.4109,40.1669,2.4826,2.2407,-3.2202,-6.2282,,-3.9656,-5.4216
NSE,WAAREEENER,INE377N01017,EQ,2026-09-21,2499,2560.7,492008,1234639953.4,34909,2585.575,2667.062,,568368.3,0.8656,2713,2914,3020,2470,2470,2470,3157.8,2470,-20.8626,1.1741,-6.6911,-14.5027,40.2859,2.5722,2.3487,-3.3484,-6.3014,,-3.8609,-5.4021
BSE,WAAREEINDO,INE866K01023,B,2026-09-21,255.7,269.1,37856,10042775,753,265.33,305.81,,12274.4,3.0841,289.7,407.9,423.9,240.9,240.9,240.9,436.65,240.9,-41.4405,6.1436,-9.9965,-34.4107,41.2974,4.5324,7.3929,-3.6294,-16.386,,-14.1195,-14.4556
NSE,WAAREEINDO,INE866K01023,EQ,2026-09-21,255.1,267.95,273231,72850860.75,5146,265.1725,305.766,,111584.3,2.4487,289.6,406,414.6,241.1,241.1,241.1,437.3,241.1,-41.6648,5.8067,-10.1444,-34.5058,40.9814,4.8454,7.6787,-3.7985,-16.5702,,-14.2121,-14.4816
BSE,WAAREERTL,INE299N01021,A,2026-09-21,813.85,820.1,14778,11987785,948,846.31,898.42,,15457.55,0.956,890.6,1029.6,1061,793.35,793.35,793.35,1061,793.35,-23.2941,2.584,-7.0205,-19.8888,25.7388,2.1608,1.2763,-3.8355,-9.4132,,-6.3101,-6.2804
NSE,WAAREERTL,INE299N01021,EQ,2026-09-21,813.9,819.65,85244,69190288.75,7245,846.4375,898.387,,105685.15,0.8066,894.7,1030,1062,792.85,792.85,792.85,1062,792.85,-23.3616,2.655,-7.0147,-19.9154,25.2951,2.1804,1.2701,-3.8441,-9.4043,,-6.2862,-6.2796
BSE,WABAG,INE956G01038,A,2026-09-21,2099.45,2127.65,18610,39252359,1189,2074.2975,2027.928,,42305.85,0.4399,2320,2320,2320,1950,1855.5,1855.5,2320,1509.85,-9.5065,39.0502,5.1434,-5.46,58.7642,4.3423,3.1232,1.2126,3.5269,,6.2534,1.5512
NSE,WABAG,INE956G01038,EQ,2026-09-21,2099.5,2132.6,393829,830172625.9,25849,2074.915,2028.432,,847000.1,0.465,2319,2319,2319,1948.9,1856,1856,2319,1510,-9.4653,39.0397,4.8021,-5.479,58.6609,4.3504,3.3859,1.1849,3.5036,,6.2335,1.5678
BSE,WAGEND,INE786K01023,X,2026-09-21,1.16,1.2,7975,9294,21,1.2005,1.2054,,33630.7,0.2371,1.26,1.34,1.34,0.93,0.93,0.93,1.34,0.93,-13.4328,24.7312,-6.4516,-3.3333,46.9388,7.6355,3.4483,-3.3736,-3.7664,,-1.5176,1.7387
BSE,WAKEFIT,INE0E7301029,B,2026-09-21,146.55,147.1,15212,2230994,266,148.8425,136.989,,78631.85,0.1935,159.8,159.8,159.8,137.1,120.35,118.3,159.8,111.65,-8.2916,31.2584,3.5323,13.3849,48.986,4.2331,1.8589,-1.5402,6.9794,,16.1426,7.9223
NSE,WAKEFIT,INE0E7301029,EQ,2026-09-21,146.66,146.85,144051,21101885.74,2335,148.819,136.947,,1067394.25,0.135,159.95,159.95,159.95,137,120.02,118.05,159.95,111.4,-8.3088,31.6517,3.7493,12.9892,49.8107,4.2455,2.0578,-1.4508,7.0925,,16.17,7.8962
BSE,WALCHANNAG,INE711A01022,B,2026-09-21,201.15,202.8,20596,4178743,468,211.33,225.474,,45460.3,0.4531,231.2,266.85,279.9,192.2,192.2,192.2,315.85,192.2,-36.3147,4.6566,-11.3291,-22.8719,39.6241,4.5311,2.4129,-4.8171,-10.7879,,-7.5527,-9.0196
NSE,WALCHANNAG,INE711A01022,EQ,2026-09-21,201.18,202.71,281568,57075852.53,6471,211.32,225.4814,,598275.75,0.4706,230.99,267,279.9,192.36,192.36,192.36,315.8,192.36,-36.2951,4.5852,-11.4096,-22.9195,38.914,4.5638,2.5411,-4.7984,-10.7776,,-7.6292,-9.0113
BSE,WALCHPF,INE695D01021,X,2026-09-21,127.55,128.2,2855,365496,29,138.3275,136.526,,675.1,4.229,149,160,160,125.5,120,120,160,120,-20.2813,6.2917,-9.1848,3.5308,33.2694,5.572,7.49,-7.7913,-6.5746,,-1.6949,1.3556
