exchange,symbol,isin,series,date,close,prev_close,volume,value,trades,sma20,sma50,sma200,avg_vol20,volume_ratio20,high20,high50,high60,low20,low50,low60,high252,low252,dist_52w_high_pct,dist_52w_low_pct,roc20_pct,roc50_pct,rsi14,atr14_pct,range_pct,close_vs_sma20_pct,close_vs_sma50_pct,close_vs_sma200_pct,sma20_slope20_pct,sma50_slope20_pct
BSE,CAMLINFINE,INE052I01032,B,2026-09-17,99.8,98.15,56467,5679199,670,103.4875,114.838,,39433.1,1.432,111.2,133.45,140.1,97.25,97.25,97.25,146.7,97.25,-31.97,2.6221,-5.9378,-22.6057,39.4904,3.2315,2.9234,-3.5632,-13.095,,-14.5561,-9.9253
NSE,CAMLINFINE,INE052I01032,EQ,2026-09-17,99.63,98.12,1064616,106887875.02,10347,103.464,114.8234,,643396.5,1.6547,111.38,133.8,140.86,97.1,97.1,97.1,146.5,97.1,-31.9932,2.6056,-6.1423,-22.7974,39.288,3.5044,4.841,-3.7056,-13.232,,-14.6009,-9.9382
BSE,CAMPUS,INE278Y01022,A,2026-09-17,211.65,210.85,9508,2008123,256,220.66,222.011,,27768.1,0.3424,233.1,259.7,259.7,207.85,207.85,207.85,259.7,207.85,-18.5021,1.8282,-5.1747,-7.7778,24.5174,2.1548,1.548,-4.0832,-4.6669,,0.0397,-2.4591
NSE,CAMPUS,INE278Y01022,EQ,2026-09-17,211.98,211.47,269576,56965193.55,13727,220.7605,221.9764,,434588,0.6203,233.28,259.7,259.7,207.92,207.92,207.92,259.7,207.92,-18.375,1.9527,-4.7452,-7.7907,22.8845,2.1306,1.4857,-3.9774,-4.5034,,0.1222,-2.4464
BSE,CAMS,INE596I01020,A,2026-09-17,713.4,707.25,60384,43027374,2243,738.4775,762.588,,558443.75,0.1081,786.1,830,830,681.75,681.75,681.75,835.75,681.75,-14.6395,4.6425,-5.259,-4.9497,39.6676,2.9226,1.98,-3.3958,-6.4501,,-5.7162,-2.5442
NSE,CAMS,INE596I01020,EQ,2026-09-17,714.95,705.7,1304374,930140129.2,50059,738.3575,762.639,,1331229.6,0.9798,786.4,830.5,830.5,681,681,681,836,681,-14.4797,4.9853,-5.2168,-4.6479,41.5334,2.9837,2.0298,-3.1702,-6.2532,,-5.7526,-2.5618
BSE,CANBK,INE476A01022,A,2026-09-17,123.9,122.85,612953,75745861,2593,125.85,127.037,,571072.65,1.0733,131.3,133.1,133.1,121.8,121.55,120.5,138.3,120.5,-10.4121,2.8216,-3.6173,2.3121,45.3441,1.8592,2.1224,-1.5495,-2.4694,,-1.9153,-1.1962
NSE,CANBK,INE476A01022,EQ,2026-09-17,123.9,123.2,11099833,1372112571.74,55544,126.127,127.1802,,12448182.9,0.8917,131.43,133.11,133.11,121.81,121.5,120.5,138.26,120.5,-10.3862,2.8216,-4.013,2.2699,31.5972,1.8143,2.1718,-1.7657,-2.5792,,-1.7565,-1.112
BSE,CANDOUR,INE713D01055,XT,2026-09-17,60.88,59,11848,721489,88,63.9885,71.5948,,10536.25,1.1245,72.6,84.5,86.7,58.8,58.8,58.8,86.7,58.8,-29.7809,3.5374,-13.0286,-18.249,41.5071,6.5175,5.2721,-4.8579,-14.9659,,-14.7916,-7.6067
BSE,CANFINHOME,INE477A01020,A,2026-09-17,774.1,770.95,5938,4618003,414,799.285,823.94,,42454.55,0.1399,852,940.5,940.5,767,767,767,940.5,767,-17.6927,0.9257,-5.3378,-13.1445,33.4613,2.1693,1.6002,-3.1509,-6.049,,-2.183,-3.7105
NSE,CANFINHOME,INE477A01020,EQ,2026-09-17,774.4,771.95,186251,145244870.55,7956,799.515,824.271,,257946.6,0.7221,852.35,940.85,940.85,766.85,766.85,766.85,940.85,766.85,-17.6914,0.9845,-5.2895,-13.213,34.6555,2.2718,1.797,-3.1413,-6.0503,,-2.177,-3.7086
BSE,CANHLIFE,INE01TY01017,B,2026-09-17,155.25,153.75,244095,37399819,736,153.645,150.81,,172387.15,1.416,162.55,166.5,166.5,147.15,140.65,133.75,166.5,133.5,-6.7568,16.2921,2.1718,9.331,46.4444,3.821,2.0275,1.0446,2.9441,,3.2682,3.7358
NSE,CANHLIFE,INE01TY01017,EQ,2026-09-17,155.36,153.92,363145,56146847.6,8043,153.821,150.8612,,1186193.9,0.3061,162.9,166.69,166.69,145.65,140,133.55,166.69,133.5,-6.797,16.3745,2.4599,9.4933,47.2232,3.8514,2.4047,1.0005,2.9821,,3.4129,3.7647
BSE,CANTABIL,INE068L01024,B,2026-09-17,243.3,238.9,7485,1815912,150,241.575,242.182,,24571.9,0.3046,255,267.8,277.7,233.85,225.55,225.55,277.7,212.45,-12.3875,14.5211,4.443,-3.3565,45.2055,2.3707,2.5775,0.7141,0.4616,,2.0671,0.6751
NSE,CANTABIL,INE068L01024,EQ,2026-09-17,243,238.95,147281,35758897.42,2646,241.8025,242.265,,195180.6,0.7546,255,268.15,278,233.04,225.13,225.13,278,212.01,-12.5899,14.6172,4.6872,-3.5102,44.3913,2.5053,2.9282,0.4952,0.3034,,2.1846,0.7228
BSE,CAPACITE,INE264T01014,B,2026-09-17,192.6,186.6,5629,1067613,200,207.27,214.028,,24518.2,0.2296,232,247.4,270.5,185.4,185.4,185.4,287.05,185.4,-32.9037,3.8835,-6.323,-17.9553,27.0106,3.8385,4.0214,-7.0777,-10.0118,,-3.1358,-6.3183
NSE,CAPACITE,INE264T01014,EQ,2026-09-17,192.73,186.88,206508,39402123.73,5148,207.285,214.0858,,455103.6,0.4538,231.7,247.75,270.7,185.25,185.25,185.25,287,185.25,-32.8467,4.0378,-6.2278,-17.8824,26.4218,3.9611,4.9536,-7.0217,-9.9753,,-3.1682,-6.2977
BSE,CAPILLARY,INE0ILV01024,B,2026-09-17,447.45,450.9,248444,111795432,480,483.2275,501.71,,41110,6.0434,523.75,597.5,597.5,437.5,437.5,437.5,597.5,437.5,-25.113,2.2743,-12.2733,-12.522,19.3451,3.599,3.6292,-7.4039,-10.815,,-7.755,-1.7195
NSE,CAPILLARY,INE0ILV01024,EQ,2026-09-17,448.95,452.05,121509,54567975.75,4694,483.41,501.793,,196849.55,0.6173,524.1,597.4,597.4,438.15,438.15,438.15,597.4,438.15,-24.8493,2.4649,-11.9965,-12.0826,21.3193,3.6108,2.172,-7.1285,-10.5308,,-7.7286,-1.6819
BSE,CAPINVIT,INE0Z8Z23013,IF,2026-09-17,76.84,76.94,17498,1345944,341,76.6785,75.4796,,27085.55,0.646,77.69,77.69,77.69,75.47,71.85,71.85,77.69,70.85,-1.0941,8.4545,-0.2596,3.9924,47.1053,1.161,0.9933,0.2106,1.8023,,2.089,1.702
BSE,CAPITALSFB,INE646H01017,B,2026-09-17,277.95,273.1,1436,400507,40,280.39,289.23,,1153.55,1.2449,308.3,308.3,308.3,267,267,267,308.3,265.3,-9.8443,4.7682,-4.1552,-1.4362,41.8208,2.954,3.616,-0.8702,-3.9,,-4.3723,-0.6137
NSE,CAPITALSFB,INE646H01017,EQ,2026-09-17,279.9,273.25,15202,4214166.65,617,280.41,289.256,,20320.4,0.7481,297.3,307,307,267.15,267.15,267.15,307,266,-8.8274,5.2256,-2.6773,-0.6566,44.1727,2.6259,4.3926,-0.1819,-3.2345,,-4.3606,-0.6157
